dataset	strategy	questions	retr_p	retr_r	hit	util	lat_ms	cost	mem	sem_cov	sem	sem_pass	faith	ctx	ans
LoCoMo	no_memory	40	0.000	0.000	0.000	0.000	0.00	4.0	0	0.100	0.000	0.000	0.000	0.000	0.000
LoCoMo	verbatim	40	0.070	0.321	0.350	0.350	0.87	23.8	369	0.100	0.400	0.250	0.250	0.699	0.250
LoCoMo	extracted_facts	40	0.075	0.346	0.375	0.375	0.86	23.8	369	0.100	0.385	0.250	0.250	0.653	0.250
LoCoMo	episodic	40	0.080	0.371	0.400	0.400	0.92	23.8	369	0.100	0.400	0.250	0.250	0.699	0.250
LoCoMo	hybrid	40	0.080	0.371	0.400	0.400	0.87	23.8	369	0.100	0.413	0.250	0.250	0.741	0.250
LongMemEval	no_memory	100	0.000	0.000	0.000	0.000	0.00	10.0	0	0.030	0.000	0.000	0.000	0.000	0.000
LongMemEval	verbatim	100	1.000	0.998	1.000	1.000	0.05	15.5	5	0.030	1.000	1.000	1.000	1.000	1.000
LongMemEval	extracted_facts	100	1.000	0.998	1.000	1.000	0.05	15.5	5	0.030	1.000	1.000	1.000	1.000	1.000
LongMemEval	episodic	100	1.000	0.998	1.000	1.000	0.05	15.5	5	0.030	1.000	1.000	1.000	1.000	1.000
LongMemEval	hybrid	100	1.000	0.998	1.000	1.000	0.05	15.5	5	0.030	1.000	1.000	1.000	1.000	1.000
MemoryArena	no_memory	486	0.000	0.000	0.000	0.000	0.02	48.6	0	0.006	0.000	0.000	0.000	0.000	0.000
MemoryArena	verbatim	486	0.216	0.409	0.414	0.414	0.05	72.1	1	0.006	0.000	0.000	0.000	0.000	0.000
MemoryArena	extracted_facts	486	0.508	0.718	0.722	0.722	0.05	76.0	1	0.006	1.000	1.000	1.000	1.000	1.000
MemoryArena	episodic	486	0.212	0.340	0.344	0.344	0.05	68.4	1	0.006	0.000	0.000	0.000	0.000	0.000
MemoryArena	hybrid	486	0.216	0.409	0.414	0.414	0.05	72.1	1	0.006	0.000	0.000	0.000	0.000	0.000
